iter	Passed	Remaining
0	132	26427
1	133	13260
2	135	8878
3	136	6692
4	137	5375
5	139	4497
6	139	3848
7	140	3362
8	140	2980
9	140	2675
10	141	2425
11	141	2218
12	142	2042
13	142	1891
14	142	1761
15	143	1646
16	143	1545
17	143	1455
18	144	1375
19	144	1302
20	145	1237
21	145	1176
22	145	1122
23	146	1071
24	146	1025
25	146	982
26	147	943
27	147	906
28	147	871
29	148	839
30	148	809
31	148	781
32	149	755
33	149	730
34	150	707
35	150	685
36	150	664
37	151	644
38	151	625
39	151	607
40	152	590
41	152	573
42	152	558
43	153	543
44	153	529
45	154	515
46	154	503
47	154	490
48	155	478
49	155	467
50	156	456
51	156	445
52	157	435
53	157	425
54	157	415
55	158	406
56	158	398
57	159	389
58	159	381
59	159	373
60	160	365
61	160	357
62	161	350
63	161	343
64	162	336
65	162	329
66	162	323
67	163	317
68	163	310
69	164	304
70	164	299
71	165	293
72	165	287
73	165	282
74	166	277
75	166	272
76	167	267
77	167	262
78	168	257
79	168	252
80	169	248
81	169	243
82	169	239
83	170	235
84	170	231
85	171	227
86	172	223
87	172	219
88	172	215
89	173	211
90	173	208
91	174	204
92	174	201
93	175	197
94	175	194
95	176	190
96	176	187
97	177	184
98	177	181
99	178	178
100	178	174
101	178	171
102	179	168
103	179	166
104	180	163
105	180	160
106	181	157
107	181	154
108	182	152
109	182	149
110	183	146
111	183	144
112	183	141
113	184	139
114	184	136
115	185	134
116	185	131
117	186	129
118	186	127
119	187	124
120	187	122
121	188	120
122	188	118
123	189	116
124	189	113
125	190	111
126	190	109
127	191	107
128	191	105
129	192	103
130	192	101
131	193	99
132	193	97
133	194	95
134	194	93
135	195	91
136	195	89
137	196	88
138	196	86
139	197	84
140	197	82
141	198	80
142	198	79
143	199	77
144	199	75
145	200	74
146	200	72
147	201	70
148	201	69
149	202	67
150	202	65
151	203	64
152	204	62
153	204	61
154	205	59
155	205	57
156	206	56
157	206	54
158	206	53
159	207	51
160	207	50
161	208	48
162	208	47
163	209	45
164	209	44
165	210	43
166	210	41
167	211	40
168	211	38
169	211	37
170	212	36
171	212	34
172	213	33
173	213	31
174	214	30
175	214	29
176	215	27
177	215	26
178	215	25
179	216	24
180	216	22
181	217	21
182	217	20
183	218	18
184	218	17
185	218	16
186	219	15
187	219	14
188	220	12
189	220	11
190	220	10
191	221	9
192	221	8
193	222	6
194	222	5
195	223	4
196	223	3
197	223	2
198	224	1
199	224	0
